item-app-1  | 
item-db-1   | 2023-12-26T13:29:56.677+0000 I STORAGE  [FileAllocator] allocating new datafile /data/db/accumulator.0, filling with zeroes...
item-db-1   | 2023-12-26T13:29:56.677+0000 I STORAGE  [FileAllocator] creating directory /data/db/_tmp
item-db-1   | 2023-12-26T13:29:56.679+0000 I STORAGE  [FileAllocator] done allocating datafile /data/db/accumulator.0, size: 64MB,  took 0 secs
item-db-1   | 2023-12-26T13:30:21.397+0000 I NETWORK  [conn1] end connection 172.18.0.3:49244 (0 connections now open)
item-db-1   | 2023-12-26T13:30:21.538+0000 I CONTROL  [signalProcessingThread] got signal 15 (Terminated), will terminate after current cmd ends
item-db-1   | 2023-12-26T13:30:21.538+0000 I CONTROL  [signalProcessingThread] now exiting
item-db-1   | 2023-12-26T13:30:21.538+0000 I NETWORK  [signalProcessingThread] shutdown: going to close listening sockets...
item-db-1   | 2023-12-26T13:30:21.538+0000 I NETWORK  [signalProcessingThread] closing listening socket: 5
item-db-1   | 2023-12-26T13:30:21.538+0000 I NETWORK  [signalProcessingThread] closing listening socket: 6
item-db-1   | 2023-12-26T13:30:21.538+0000 I NETWORK  [signalProcessingThread] removing socket file: /tmp/mongodb-27017.sock
item-db-1   | 2023-12-26T13:30:21.538+0000 I NETWORK  [signalProcessingThread] shutdown: going to flush diaglog...
item-db-1   | 2023-12-26T13:30:21.538+0000 I NETWORK  [signalProcessingThread] shutdown: going to close sockets...
item-db-1   | 2023-12-26T13:30:21.538+0000 I STORAGE  [signalProcessingThread] shutdown: waiting for fs preallocator...
item-db-1   | 2023-12-26T13:30:21.538+0000 I STORAGE  [signalProcessingThread] shutdown: final commit...
item-db-1   | 2023-12-26T13:30:21.541+0000 I JOURNAL  [signalProcessingThread] journalCleanup...
item-db-1   | 2023-12-26T13:30:21.541+0000 I JOURNAL  [signalProcessingThread] removeJournalFiles
item-db-1   | 2023-12-26T13:30:21.543+0000 I NETWORK  [initandlisten] Port 27017 is no longer valid
item-db-1   | 2023-12-26T13:30:21.543+0000 I JOURNAL  [signalProcessingThread] Terminating durability thread ...
item-db-1   | 2023-12-26T13:30:21.645+0000 I JOURNAL  [journal writer] Journal writer thread stopped
item-db-1   | 2023-12-26T13:30:21.645+0000 I JOURNAL  [durability] Durability thread stopped
item-db-1   | 2023-12-26T13:30:21.645+0000 I STORAGE  [signalProcessingThread] shutdown: closing all files...
item-db-1   | 2023-12-26T13:30:21.646+0000 I STORAGE  [signalProcessingThread] closeAllFiles() finished
item-db-1   | 2023-12-26T13:30:21.646+0000 I STORAGE  [signalProcessingThread] shutdown: removing fs lock...
item-db-1   | 2023-12-26T13:30:21.646+0000 I CONTROL  [signalProcessingThread] dbexit:  rc: 0
